Id,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Garage Type,Garage Yr Blt,Garage Finish,Garage Area,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,SalePrice
109,60,RL,0.0,13517,1,0,2,Lvl,AllPub,CulDSac,2,Sawyer,RRAe,Norm,1Fam,2Story,6,8,1976,2005,Gable,CompShg,HdBoard,Plywood,BrkFace,289.0,4,3,CBlock,3,3,1,6,533.0,1,0.0,192.0,725.0,GasA,5,1,SBrkr,725,754,0,1479,0.0,0.0,2,1,3,1,4,6,Typ,0,Attchd,1976.0,2,475.0,2,0,44,0,0,0,0,0,NA,0,3,2010,WD ,130500
544,60,RL,43.0,11492,1,0,2,Lvl,AllPub,CulDSac,2,SawyerW,Norm,Norm,1Fam,2Story,7,5,1996,1997,Gable,CompShg,VinylSd,VinylSd,BrkFace,132.0,4,3,PConc,4,3,1,6,637.0,1,0.0,276.0,913.0,GasA,5,1,SBrkr,913,1209,0,2122,1.0,0.0,2,1,4,1,4,8,Typ,1,Attchd,1997.0,2,559.0,2,0,74,0,0,0,0,0,NA,0,4,2009,WD ,220000
153,20,RL,68.0,7922,1,0,3,Lvl,AllPub,Inside,2,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,CBlock,3,3,1,6,731.0,1,0.0,326.0,1057.0,GasA,3,1,SBrkr,1057,0,0,1057,1.0,0.0,1,0,3,1,4,5,Typ,0,Detchd,1953.0,1,246.0,2,0,52,0,0,0,0,0,NA,0,1,2010,WD ,109000
318,60,RL,73.0,9802,1,0,3,Lvl,AllPub,Inside,2,Timber,Norm,Norm,1Fam,2Story,5,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,4,3,1,1,0.0,1,0.0,384.0,384.0,GasA,4,1,SBrkr,744,700,0,1444,0.0,0.0,2,1,3,1,3,7,Typ,0,BuiltIn,2007.0,3,400.0,2,100,0,0,0,0,0,0,NA,0,4,2010,WD ,174000
255,50,RL,82.0,14235,1,0,2,Lvl,AllPub,Inside,2,SawyerW,Norm,Norm,1Fam,1.5Fin,6,8,1900,1993,Gable,CompShg,Wd Sdng,Plywood,None,0.0,3,3,PConc,2,4,1,1,0.0,1,0.0,676.0,676.0,GasA,3,1,SBrkr,831,614,0,1445,0.0,0.0,2,0,3,1,3,6,Typ,0,Detchd,1957.0,1,484.0,0,0,59,0,0,0,0,0,NA,0,3,2010,WD ,138500
138,20,RL,137.0,16492,1,0,2,Lvl,AllPub,Corner,2,NAmes,PosA,Norm,1Fam,1Story,6,6,1966,2002,Gable,CompShg,BrkFace,Plywood,None,0.0,4,3,CBlock,3,3,1,5,247.0,3,713.0,557.0,1517.0,GasA,5,1,SBrkr,1888,0,0,1888,0.0,0.0,2,1,2,1,4,6,Mod,1,Attchd,1966.0,3,578.0,2,0,0,0,0,0,0,0,NA,0,6,2010,WD ,190000
2827,180,RM,35.0,3675,1,0,3,Lvl,AllPub,Inside,2,Edwards,Norm,Norm,TwnhsE,SFoyer,6,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,82.0,3,3,PConc,4,3,4,6,547.0,1,0.0,0.0,547.0,GasA,4,1,SBrkr,1072,0,0,1072,1.0,0.0,2,0,2,1,3,5,Typ,0,Basment,2005.0,3,525.0,2,0,44,0,0,0,0,0,NA,0,6,2006,New,140000
145,20,RL,0.0,12160,1,0,2,Lvl,AllPub,Inside,2,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,Plywood,Plywood,BrkFace,180.0,3,3,CBlock,3,3,1,3,1000.0,1,0.0,188.0,1188.0,GasA,2,1,SBrkr,1188,0,0,1188,1.0,0.0,1,0,3,1,3,6,Typ,0,Attchd,1959.0,2,531.0,2,0,0,0,0,0,0,3,NA,0,5,2010,COD,142000
1942,20,RL,0.0,15783,1,0,3,Lvl,AllPub,Inside,2,OldTown,Artery,Norm,1Fam,1Story,5,5,1952,1952,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,1,3,292.0,1,0.0,632.0,924.0,GasA,3,1,SBrkr,924,0,0,924,0.0,0.0,1,0,2,1,3,6,Typ,0,Detchd,1952.0,1,420.0,2,0,324,0,0,0,0,3,Shed,400,6,2007,WD ,112500
1956,60,RL,70.0,11606,1,0,2,HLS,AllPub,Inside,0,NAmes,Norm,Norm,1Fam,2Story,5,5,1969,1969,Gable,CompShg,Plywood,Plywood,BrkFace,192.0,3,3,PConc,4,3,3,3,650.0,1,0.0,390.0,1040.0,GasA,3,1,SBrkr,1040,1040,0,2080,0.0,1.0,1,2,5,1,2,9,Typ,2,Attchd,1969.0,1,504.0,2,335,0,0,0,0,0,0,NA,0,9,2007,WD ,135000
