Id,MS SubClass,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Slope,Bldg Type,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Mas Vnr Area,Exter Qual,Exter Cond,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating QC,Central Air,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Fireplaces,Garage Yr Blt,Garage Finish,Garage Area,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Fence,Misc Val,Mo Sold,Yr Sold,SalePrice
109,60,0.0,13517,1,0,2,2,4,6,8,1976,2005,289.0,4,3,3,3,1,6,533.0,1,0.0,192.0,725.0,5,1,725,754,0,1479,0.0,0.0,2,1,3,1,4,6,0,1976.0,2,475.0,2,0,44,0,0,0,0,0,0,3,2010,130500
544,60,43.0,11492,1,0,2,2,4,7,5,1996,1997,132.0,4,3,4,3,1,6,637.0,1,0.0,276.0,913.0,5,1,913,1209,0,2122,1.0,0.0,2,1,4,1,4,8,1,1997.0,2,559.0,2,0,74,0,0,0,0,0,0,4,2009,220000
153,20,68.0,7922,1,0,3,2,4,5,7,1953,2007,0.0,3,4,3,3,1,6,731.0,1,0.0,326.0,1057.0,3,1,1057,0,0,1057,1.0,0.0,1,0,3,1,4,5,0,1953.0,1,246.0,2,0,52,0,0,0,0,0,0,1,2010,109000
318,60,73.0,9802,1,0,3,2,4,5,5,2006,2007,0.0,3,3,4,3,1,1,0.0,1,0.0,384.0,384.0,4,1,744,700,0,1444,0.0,0.0,2,1,3,1,3,7,0,2007.0,3,400.0,2,100,0,0,0,0,0,0,0,4,2010,174000
255,50,82.0,14235,1,0,2,2,4,6,8,1900,1993,0.0,3,3,2,4,1,1,0.0,1,0.0,676.0,676.0,3,1,831,614,0,1445,0.0,0.0,2,0,3,1,3,6,0,1957.0,1,484.0,0,0,59,0,0,0,0,0,0,3,2010,138500
138,20,137.0,16492,1,0,2,2,4,6,6,1966,2002,0.0,4,3,3,3,1,5,247.0,3,713.0,557.0,1517.0,5,1,1888,0,0,1888,0.0,0.0,2,1,2,1,4,6,1,1966.0,3,578.0,2,0,0,0,0,0,0,0,0,6,2010,190000
2827,180,35.0,3675,1,0,3,2,1,6,5,2005,2006,82.0,3,3,4,3,4,6,547.0,1,0.0,0.0,547.0,4,1,1072,0,0,1072,1.0,0.0,2,0,2,1,3,5,0,2005.0,3,525.0,2,0,44,0,0,0,0,0,0,6,2006,140000
145,20,0.0,12160,1,0,2,2,4,5,5,1959,1959,180.0,3,3,3,3,1,3,1000.0,1,0.0,188.0,1188.0,2,1,1188,0,0,1188,1.0,0.0,1,0,3,1,3,6,0,1959.0,2,531.0,2,0,0,0,0,0,0,3,0,5,2010,142000
1942,20,0.0,15783,1,0,3,2,4,5,5,1952,1952,0.0,3,3,3,3,1,3,292.0,1,0.0,632.0,924.0,3,1,924,0,0,924,0.0,0.0,1,0,2,1,3,6,0,1952.0,1,420.0,2,0,324,0,0,0,0,3,400,6,2007,112500
1956,60,70.0,11606,1,0,2,0,4,5,5,1969,1969,192.0,3,3,4,3,3,3,650.0,1,0.0,390.0,1040.0,3,1,1040,1040,0,2080,0.0,1.0,1,2,5,1,2,9,2,1969.0,1,504.0,2,335,0,0,0,0,0,0,0,9,2007,135000
